id;num_activite;type_a;description;date_act;h_debut;h_fin;date_creation;createur;visible
1;24876;corps enseignant sympathique;proche;2024-05-01;2024-05-01;2024-05-01;2024-05-01;administration;16216
2;15933;pour que en dehors de assez;nourrir;2024-05-01;2024-05-01;2024-05-01;2024-05-01;ainsi;17548
3;14695;lorsque membre titulaire;toutefois mature;2024-05-01;2024-05-01;2024-05-01;2024-05-01;suivant;908
4;9637;commis quand;administration hors de incliner;2024-05-01;2024-05-01;2024-05-01;2024-05-01;immense pendant;12228
5;24048;périr à force de;avancer pour que;2024-05-01;2024-05-01;2024-05-01;2024-05-01;conseil d’administration puisque;30910
6;7601;fonctionner;environ de manière à glouglou;2024-05-01;2024-05-01;2024-05-01;2024-05-01;coac coac;629
7;7013;communauté étudiante;du côté de;2024-04-30;2024-05-01;2024-05-01;2024-05-01;sans que à condition que;21486
8;1950;fidèle altruiste;antagoniste remettre en faveur de;2024-05-01;2024-04-30;2024-05-01;2024-05-01;durer contester;21210
9;18984;vouh tic-tac;géométrique du moment que;2024-05-01;2024-05-01;2024-05-01;2024-05-01;ouf;25571
10;1696;conseil d’administration durant plus;pendant;2024-04-30;2024-04-30;2024-05-01;2024-05-01;attarder innombrable;12466
