id;num_act;type_d;descript;date_act;h_debut;h_fin;date_creation;createur
1;5908;paf du côté de afin de;dès dès lorsque;2024-05-01;2024-05-01;2024-05-01;2024-05-01;sauf
2;7411;contre;membre du personnel neutre selon;2024-05-01;2024-05-01;2024-05-01;2024-05-01;fumer vraisemblablement
3;12147;lorsque;à l'égard de clac durer;2024-05-01;2024-05-01;2024-05-01;2024-05-01;vroum d'entre débile
4;16309;hier déjà présidence;cyan;2024-05-01;2024-05-01;2024-05-01;2024-04-30;magnifique quasi vraisemblablement
5;7850;triste comme grossir;de crainte que équipe;2024-05-01;2024-05-01;2024-05-01;2024-05-01;vorace à peine
6;3236;oh;suivant jamais;2024-05-01;2024-04-30;2024-05-01;2024-05-01;plouf magnifique
7;29841;conseil municipal main-d’œuvre;si mesurer;2024-05-01;2024-05-01;2024-05-01;2024-05-01;à force de miaou depuis
8;22431;à la faveur de;affable entre;2024-05-01;2024-05-01;2024-05-01;2024-05-01;sage bien que population du Québec
9;6760;partenaire;actionnaire évoquer;2024-05-01;2024-04-30;2024-05-01;2024-05-01;ha ha jadis dès que
10;2670;chef;tard dès que aujourd'hui;2024-05-01;2024-05-01;2024-05-01;2024-05-01;pauvre cuicui
